Currency,Last,Change,Date
USD-IDR,16420.00,0.03%,05/09/2025
EUR-IDR,19233.92,0.62%,06/09/2025
JPY-IDR,111.34,0.69%,06/09/2025
AUD-IDR,10761.67,0.63%,06/09/2025
SGD-IDR,12780.20,0.47%,06/09/2025
GBP-IDR,22175.21,0.57%,06/09/2025
AUD-USD,0.66,0.61%,06/09/2025
CNY-IDR,2266.95,0.07%,04/06/2025
EUR-USD,1.17,0.58%,06/09/2025
GBP-USD,1.35,0.54%,06/09/2025
HKD-IDR,2105.78,0.08%,06/09/2025
KRW-IDR,11.79,0.11%,06/09/2025
MYR-IDR,3835.88,0.06%,04/06/2025
NZD-IDR,9676.31,0.89%,06/09/2025
NZD-USD,0.59,0.87%,06/09/2025
SAR-IDR,4375.05,0.03%,06/09/2025
THB-IDR,511.85,0.81%,06/09/2025
USD-CAD,1.38,0.09%,06/09/2025
USD-CNY,7.19,-0.02%,18/06/2025
USD-HKD,7.80,-0.06%,06/09/2025
USD-JPY,147.39,-0.68%,06/09/2025
USD-KRW,1392.07,-0.13%,06/09/2025
USD-PHP,56.91,-0.26%,06/09/2025
USD-SGD,1.28,-0.40%,06/09/2025
USD-THB,32.03,-0.84%,06/09/2025
USD-TWD,30.48,-0.72%,06/09/2025

