Code,Board,Net Val(M),Net Vol,F.Buy Vol,F.Buy Val(M),F.Sell Vol,F.Sell Val(M),Last,AVG,Change,Freq,Volume,Value(M)
GOTO,RG,21016,3556035,11085303,64936,7529268,43920,59,58,1.72%,10521,16210199,94746
BUKA,RG,9639,552526,1521569,26501,969043,16862,175,174,0.57%,2314,2035582,35434
ANTM,RG,142415,416622,751346,256576,334724,114162,3390,3412,-2.59%,30703,1424731,486184
BMRI,RG,182799,392376,728931,339686,336555,156886,4680,4660,1.30%,13332,887353,413524
SMIL,RG,16699,332275,444781,22371,112506,5672,520,496,7.00%,6046,1689581,83833
KPIG,RG,4725,264885,583757,10875,318872,6149,200,194,11.73%,22279,3307793,64030
SMGA,RG,2691,263203,379694,3891,116491,1199,105,103,-0.94%,3242,1212568,12442
PGAS,RG,32782,185909,326110,57486,140201,24704,1770,1763,0.57%,6771,488412,86091
SURI,RG,1565,141938,468187,5225,326249,3660,117,112,3.54%,21184,6475111,72270
MNCN,RG,3369,128620,140555,3681,11935,313,266,261,1.53%,1154,399133,10436
PWON,RG,4643,124575,380596,14143,256021,9500,372,371,0.54%,2869,488008,18120
STRK,RG,2117,111415,280697,5587,169282,3471,210,202,11.11%,3747,955281,19325
ESSA,RG,6462,107083,192645,11680,85562,5217,605,609,2.54%,7592,1066296,64954
MDKA,RG,22956,88272,383243,101740,294971,78784,2620,2661,2.75%,29372,1913561,509205
ADHI,RG,2580,88108,156382,4590,68274,2009,290,293,-1.36%,3468,459946,13486
TLKM,RG,27551,87688,287300,90299,199612,62748,3150,3144,1.29%,7793,372238,117028
WIFI,RG,22614,87496,165639,42932,78143,20318,2580,2594,0.78%,11579,768937,199449
BMTR,RG,1286,87425,192261,2821,104836,1534,148,147,2.07%,1825,757090,11093
CTRA,RG,8157,82322,176013,17448,93691,9291,990,991,0.00%,3521,328934,32591
HUMI,RG,1298,80655,208659,3386,128004,2088,161,163,-3.01%,12302,1908316,31196
ADRO,RG,13828,77411,502247,89041,424836,75214,1760,1778,1.73%,26312,1674369,297668
MSIN,RG,4414,76513,869695,51127,793182,46713,665,606,24.30%,12916,1616123,97936
CUAN,RG,11360,73559,212325,32293,138766,20933,1530,1514,0.66%,14793,569095,86144
AKRA,RG,9039,72886,98098,12166,25212,3128,1230,1240,-0.40%,5191,184581,22882
LPKR,RG,719,71096,213476,2155,142380,1436,101,101,-0.98%,2304,774940,7805
ERAA,RG,2495,56530,191736,8488,135206,5993,444,443,0.45%,3085,382505,16949
BBYB,RG,1817,56275,77594,2514,21319,696,320,324,-1.84%,2180,298092,9660
AMMN,RG,44632,55649,163175,130918,107526,86286,8075,8025,0.62%,10147,255613,205117
WSBP,RG,165,50000,50005,165,5,0,33,33,10.00%,2036,3803841,12553
SIDO,RG,2421,45550,53898,2866,8348,445,530,531,0.95%,2390,119158,6330
ASLC,RG,345,39648,288834,3027,249186,2683,101,105,-8.18%,8067,3052997,31917
TAPG,RG,5623,39406,93357,13316,53951,7693,1415,1426,-1.05%,3146,160878,22933
SGER,RG,1275,38336,67459,2251,29123,976,336,336,0.60%,5696,1240454,41684
IPTV,RG,148,35250,35250,148,0,0,42,42,-4.55%,227,112485,475
AADI,RG,25076,34340,51218,37366,16878,12290,7250,7291,1.05%,8558,137260,100079
TOSK,RG,209,31713,166269,1159,134556,949,65,70,-9.72%,12255,3574390,24881
ACES,RG,1373,31298,209723,9222,178425,7850,440,439,0.92%,3595,502093,22063
KAQI,RG,192,26274,35297,258,9023,65,72,72,1.41%,1897,325767,2357
BTPS,RG,3453,23508,54600,8008,31092,4555,1460,1466,0.69%,1193,82048,12025
BLOG,RG,1326,23135,29620,1715,6485,389,570,583,2.70%,3956,232859,13574
MPPA,RG,162,22659,54583,391,31924,228,69,71,-4.17%,1479,483912,3416
NICL,RG,2363,22235,44300,4703,22065,2340,1065,1064,-0.93%,1311,174785,18588
SIMP,RG,1378,21158,57741,3818,36583,2439,660,662,0.76%,2354,264454,17516
MEJA-W,RG,52,20000,20000,52,0,0,21,25,-27.59%,2776,1111811,2821
NAIK,RG,260,17732,44715,654,26983,395,146,146,-0.68%,1599,138035,2017
PPRE,RG,185,16918,51881,591,34963,406,107,114,-13.01%,8739,1719772,19596
JSMR,RG,5576,16237,19201,6594,2964,1017,3430,3432,0.59%,985,31392,10774
CHEK,RG,325,16051,27609,557,11558,232,202,201,1.00%,650,130628,2631
PGEO,RG,2274,15967,44811,6436,28844,4162,1445,1438,0.70%,5284,292396,42053
PNBN,RG,1797,15613,36013,4133,20400,2337,1155,1145,0.43%,560,68071,7796

