,,,,,Total,,,,Foreign Buy,,,,Foreign Sell,
Sector,Last,Change,,Freq,Volume,Value(M),,Freq,Volume,Value(M),,Freq,Volume,Value(M)
COMPOSITE,7867.35,-0.23%,,1845701,2556963681,13616962,,233312,51013415,3892542,,307080,70348091,4195230
LQ45,799.80,0.14%,,362993,81430206,5131489,,111173,18941192,2480573,,129667,15409047,2225335
JII,526.04,-0.12%,,258560,100565215,3349684,,77549,5552664,1300389,,86162,7887978,1215402
MBX,2002.17,-0.17%,,847669,682422108,9658657,,194628,27732158,3504099,,239461,40799372,3680812
DBX,3496.44,-0.48%,,958359,1718546393,3677200,,32797,10695707,292483,,60324,20662670,447705
KOMPAS100,1101.76,-0.26%,,684198,235685651,8656838,,173677,36500919,3370716,,205241,41250915,3426813
BISNIS-27,517.24,0.07%,,202996,47161522,3306829,,78636,5658327,1883380,,83449,4969918,1653237
SRI-KEHATI,371.27,-0.38%,,170034,42756690,3012192,,67242,4543576,1688526,,75244,4326376,1533763
ISSI,269.03,-0.32%,,1528228,1798789476,10348593,,179911,32125437,2588481,,234130,51421366,2869760
IDX30,414.74,0.12%,,299553,69438861,4502527,,95236,17515897,2179467,,112775,13925325,1990412
INFOBANK15,1042.14,-0.03%,,79962,15797908,1793545,,26101,2004433,1052590,,34693,1880001,996479
SMINFRA18,272.08,-0.08%,,94687,42246435,1509470,,33315,2607528,849501,,27864,2073677,677074
MNC36,320.49,-0.03%,,305176,108656826,4584643,,92813,7472391,2075690,,115388,9471957,2026547
INVESTOR33,405.43,0.05%,,231545,27600288,3548081,,85385,5370465,1925544,,93436,4931179,1721470
ABX,2002.74,0.33%,,45746,260441529,147974,,655,144140,6007,,1183,174549,8443
ECONOMIC30,112.58,-0.03%,,285501,87307691,4290669,,75656,6661142,1831117,,88832,8854750,1717226
ESGQKEHATI,124.09,-0.11%,,258772,54140188,3941910,,82541,6218398,1910334,,93883,5903848,1733769
ESGSKEHATI,123.92,-0.16%,,297934,57915777,4176576,,89442,7507235,1986404,,107403,7861907,1852612
I-GRADE,221.39,-0.28%,,219957,57339882,3732981,,50624,4184394,1721129,,69479,5191103,1748541
IDX80,121.21,-0.07%,,567769,181507506,7277602,,141424,24624892,2877577,,178699,23822613,2815420
IDXBASIC,1686.99,-1.12%,,278817,436055908,2731598,,41849,4368744,728919,,59382,7838596,779349
IDXBUMN20,372.69,-0.14%,,113108,24131521,1776037,,40836,2996337,991182,,29778,2063570,683039
IDXCYCLIC,834.78,3.61%,,315077,881002842,1259958,,33009,4753577,209357,,33631,12510993,292936
IDXENERGY,3153.14,-0.67%,,307114,195030765,2975836,,40840,14106538,794451,,56027,20628286,925724
IDXESGL,149.15,0.10%,,156733,66082975,2555941,,54402,16438107,1460023,,61085,12227285,1317176
IDXFINANCE,1455.08,-0.18%,,157196,360390561,2339126,,39593,3059107,1092302,,43288,6278373,1065534
IDXG30,135.27,0.10%,,221942,44384311,3345219,,61566,4948992,1592260,,76614,5096852,1528879
IDXHEALTH,1751.20,-0.10%,,86722,21389500,370664,,11872,1407808,104835,,19592,1802423,151085
IDXHIDIV20,482.05,0.21%,,199217,20588174,3288559,,69897,4664898,1769580,,71063,3857077,1534518
IDXINDUST,1332.09,-0.17%,,82272,36532040,554752,,10964,825634,179642,,12011,805725,194213
IDXINFRA,1837.08,-0.33%,,151000,295625453,954692,,16430,2509134,265459,,18089,2595346,242735
IDXLQ45LCL,112.77,0.05%,,241914,73270041,3534782,,81792,17202242,1923045,,97400,13308133,1734229
IDXMESBUMN,86.74,-0.45%,,81392,12225471,887808,,26413,1862177,466180,,17150,1074987,244894
IDXNONCYC,716.32,-0.32%,,222550,205643642,996256,,19661,3730312,244188,,35725,4285425,288034
IDXPROPERT,870.23,-0.80%,,99895,290355994,679349,,5832,1766486,65395,,11168,2718321,77545
IDXQ30,133.83,0.13%,,217982,34309044,3278855,,77514,5824171,1777449,,84141,5216448,1537198
IDXSHAGROW,89.23,-0.04%,,190557,36265163,1828891,,44706,3805847,548543,,47802,3613389,560725
IDXSMC-COM,372.50,-0.02%,,796290,2056697221,6086026,,112327,27566897,1167559,,147208,46879253,1515065
IDXSMC-LIQ,327.89,-0.13%,,226917,47707377,1925887,,41541,6282901,523202,,51895,5384176,519214
IDXTECHNO,10292.22,-0.25%,,139265,48731779,753017,,12448,14473070,208610,,16779,10742934,178989
IDXTRANS,1610.12,0.09%,,61442,53265518,167751,,1509,361326,6028,,2597,519075,8096
IDXV30,131.81,-0.85%,,149180,22259593,1616665,,41061,3868156,637395,,49264,4302082,669658
IDXVESTA28,150.23,-0.19%,,0,0,0,,0,0,0,,0,0,0
JII70,190.79,-0.07%,,508153,146914808,5460647,,123783,10289137,1755754,,142210,13477425,1778139
PRIMBANK10,189.58,0.04%,,70922,14641217,1741618,,24783,1893302,1038634,,32752,1760303,982820

