Index,Last,Change,Date
DOW,45400.86,-0.48%,06/09/2025
HANGSENG,25417.98,1.43%,06/09/2025
NIKKEI,43018.75,1.03%,05/09/2025
EIDO,24.80,0.20%,05/04/2022
STI,4307.08,0.24%,06/09/2025
KOSPI,3205.12,0.13%,06/09/2025
SSEC,3812.51,1.24%,06/09/2025
FTSE 100,9208.21,-0.09%,06/09/2025
NASDAQ,21700.39,-0.03%,06/09/2025
S&P 500,6481.50,-0.32%,06/09/2025
Dow FUT,45466.00,-0.49%,06/09/2025
-ASXD,8660.30,0.26%,30/05/2025
AORD,9091.40,0.89%,06/09/2025
ATX,3291.38,-0.87%,05/04/2022
BSE30,80710.76,-0.01%,06/09/2025
CAC 40,7674.78,-0.31%,06/09/2025
DAX,23596.98,-0.73%,06/09/2025
FTSE THAI,1264.80,0.98%,06/09/2025
HANGSENG FUT,25398.00,1.70%,05/09/2025
KLSE,1578.15,-0.02%,06/09/2025
KOSPI 200,348.70,0.17%,14/07/2025
NASDAQ FUT,14861.21,0.15%,04/04/2022
NIKKEI FUT,43055.00,1.02%,05/09/2025
NYSE,17188.46,-1.43%,29/07/2025
NZSE 50G,12053.19,-0.30%,04/04/2022
PSEI,6106.92,0.00%,06/09/2025
S&P 500 FUT,4534.00,-0.12%,04/04/2022
STOXXE,435.15,-0.30%,04/04/2022
SZSE,2222.13,0.46%,29/07/2025
TLKM-NYSE,4559.33,-0.38%,04/04/2022
TWSE,24494.58,1.30%,06/09/2025

